;SVR;HYBRID;ARIMA;MOEX;;0;0;0;0;;;;;;;
150;0,761642886;0,833420604;0,835214376;2715,26;150;0,761642886;0,833420604;0,835214376;2715,26;0,0065988;0,0065988;0,0065988;;;;
151;0,772356409;0,844134127;0,845927899;2744,35;151;0,772356409;0,844134127;0,845927899;2744,35;0,010713523;0,010713523;0,010713523;;;;
152;0,773919621;0,845697338;0,847491111;2748,64;152;0,773919621;0,845697338;0,847491111;2748,64;0,001563212;0,001563212;0,001563212;;;;
153;0,775473116;0,847250834;0,849044606;2752,91;153;0,775473116;0,847250834;0,849044606;2752,91;0,001553496;0,001553496;0,001553496;;;;
154;0,778466313;0,85024403;0,852037803;2761,15;154;0,778466313;0,85024403;0,852037803;2761,15;0,002993196;0,002993196;0,002993196;;;;
155;0,793344171;0,865121889;0,866915662;2802,23;155;0,793344171;0,865121889;0,866915662;2802,23;0,014877859;0,014877859;0,014877859;;;;
156;0,800249386;0,872027104;0,873820876;2821,58;156;0,800249386;0,872027104;0,873820876;2821,58;0,006905215;0,006905215;0,006905215;;;;
157;0,819908584;0,891686302;0,893480074;2877,05;157;0,819908584;0,891686302;0,893480074;2877,05;0,019659198;0,019659198;0,019659198;;;;
158;0,821173769;0,890421117;0,89221489;2873,41;158;0,821173769;0,890421117;0,89221489;2873,41;0,001265185;-0,001265185;-0,001265185;;;;
159;0,815431463;0,896163423;0,897957196;2856,91;159;0,815431463;0,896163423;0,897957196;2856,91;-0,005742306;0,005742306;0,005742306;;;;
160;0,825781806;0,906513767;0,908307539;2886,48;160;0,825781806;0,906513767;0,908307539;2886,48;0,010350344;0,010350344;0,010350344;;;;
161;0,834328548;0,915060509;0,916854281;2911,15;161;0,834328548;0,915060509;0,916854281;2911,15;0,008546742;0,008546742;0,008546742;;;;
162;0,840226561;0,920958522;0,922752294;2893,98;162;0,840226561;0,920958522;0,922752294;2893,98;0,005898013;0,005898013;0,005898013;;;;
163;0,852811306;0,933543266;0,935337039;2930,4;163;0,852811306;0,933543266;0,935337039;2930,4;0,012584745;0,012584745;0,012584745;;;;
164;0,85934625;0,94007821;0,941871983;2949,55;164;0,85934625;0,94007821;0,941871983;2949,55;0,006534944;0,006534944;0,006534944;;;;
165;0,869954648;0,950686608;0,952480381;2980,84;165;0,869954648;0,950686608;0,952480381;2980,84;0,010608398;0,010608398;0,010608398;;;;
166;0,879247331;0,959979291;0,961773064;3008,54;166;0,879247331;0,959979291;0,961773064;3008,54;0,009292683;0,009292683;0,009292683;;;;
167;0,890997216;0,971729176;0,973522949;2973,19;167;0,890997216;0,971729176;0,973522949;2973,19;0,011749885;0,011749885;0,011749885;;;;
168;0,887051959;0,975674434;0,977468206;2961,46;168;0,887051959;0,975674434;0,977468206;2961,46;-0,003945257;0,003945257;0,003945257;;;;
169;0,883573944;0,979152448;0,980946221;2951,16;169;0,883573944;0,979152448;0,980946221;2951,16;-0,003478014;0,003478014;0,003478014;;;;
170;0,889425881;0,985004384;0,986798157;2933,89;170;0,889425881;0,985004384;0,986798157;2933,89;0,005851936;0,005851936;0,005851936;;;;
171;0,893325141;0,988903644;0,990697417;2922,45;171;0,893325141;0,988903644;0,990697417;2922,45;0,00389926;0,00389926;0,00389926;;;;
172;0,89755789;0,993136394;0,994930167;2934,82;172;0,89755789;0,993136394;0,994930167;2934,82;0,00423275;0,00423275;0,00423275;;;;
173;0,901081105;0,996659608;0,998453381;2924,48;173;0,901081105;0,996659608;0,998453381;2924,48;0,003523214;0,003523214;0,003523214;;;;
174;0,906965912;1,002544415;1,004338188;2941,69;174;0,906965912;1,002544415;1,004338188;2941,69;0,005884807;0,005884807;0,005884807;;;;
175;0,908740402;1,004318905;1,006112678;2936,47;175;0,908740402;1,004318905;1,006112678;2936,47;0,00177449;0,00177449;0,00177449;;;;
176;0,910827942;1,006406446;1,008200219;2942,6;176;0,910827942;1,006406446;1,008200219;2942,6;0,00208754;0,00208754;0,00208754;;;;
177;0,912554307;1,00813281;1,009926583;2947,68;177;0,912554307;1,00813281;1,009926583;2947,68;0,001726364;0,001726364;0,001726364;;;;
178;0,909962438;1,005540942;1,007334714;2955,32;178;0,909962438;1,005540942;1,007334714;2955,32;-0,002591869;-0,002591869;-0,002591869;;;;
179;0,918320247;1,013898751;1,015692523;2930,62;179;0,918320247;1,013898751;1,015692523;2930,62;0,008357809;0,008357809;0,008357809;;;;
180;0,917784524;1,013363028;1,0151568;2929,05;180;0,917784524;1,013363028;1,0151568;2929,05;-0,000535723;-0,000535723;-0,000535723;;;;
181;0,918289807;1,013868311;1,015662084;2927,57;181;0,918289807;1,013868311;1,015662084;2927,57;0,000505283;0,000505283;0,000505283;;;;
182;0,915625482;1,016532637;1,018326409;2935,37;182;0,915625482;1,016532637;1,018326409;2935,37;-0,002664326;0,002664326;0,002664326;;;;
